"No.","Time","Source","Destination","Protocol","Length","Info"
"37","0.000000","host","1.16.0","USB","36","GET DESCRIPTOR Request DEVICE"
"38","0.000000","1.16.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"39","0.000000","host","1.16.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"40","0.000000","1.16.0","host","USB","69","GET DESCRIPTOR Response CONFIGURATION"
"41","0.000000","host","1.16.0","USB","36","SET CONFIGURATION Request"
"42","0.000000","1.16.0","host","USB","28","SET CONFIGURATION Response"
"91","0.008551","1.16.1","host","USB","52","URB_INTERRUPT in"
"92","0.008567","host","1.16.1","USB","27","URB_INTERRUPT in"
"93","0.018566","1.16.1","host","USB","52","URB_INTERRUPT in"
"94","0.018584","host","1.16.1","USB","27","URB_INTERRUPT in"
"95","0.028553","1.16.1","host","USB","52","URB_INTERRUPT in"
"96","0.028564","host","1.16.1","USB","27","URB_INTERRUPT in"
"97","0.038563","1.16.1","host","USB","52","URB_INTERRUPT in"
"98","0.038602","host","1.16.1","USB","27","URB_INTERRUPT in"
"99","0.048551","1.16.1","host","USB","52","URB_INTERRUPT in"
"100","0.048579","host","1.16.1","USB","27","URB_INTERRUPT in"
"101","0.058560","1.16.1","host","USB","52","URB_INTERRUPT in"
"102","0.058604","host","1.16.1","USB","27","URB_INTERRUPT in"
"103","0.068558","1.16.1","host","USB","52","URB_INTERRUPT in"
"104","0.068608","host","1.16.1","USB","27","URB_INTERRUPT in"
"105","0.078557","1.16.1","host","USB","52","URB_INTERRUPT in"
"106","0.078607","host","1.16.1","USB","27","URB_INTERRUPT in"
"107","0.088557","1.16.1","host","USB","52","URB_INTERRUPT in"
"108","0.088598","host","1.16.1","USB","27","URB_INTERRUPT in"
"109","0.098556","1.16.1","host","USB","52","URB_INTERRUPT in"
"110","0.098591","host","1.16.1","USB","27","URB_INTERRUPT in"
"111","0.108640","1.16.1","host","USB","52","URB_INTERRUPT in"
"112","0.108701","host","1.16.1","USB","27","URB_INTERRUPT in"
"113","0.118566","1.16.1","host","USB","52","URB_INTERRUPT in"
"114","0.118617","host","1.16.1","USB","27","URB_INTERRUPT in"
"116","0.128752","1.16.1","host","USB","52","URB_INTERRUPT in"
"117","0.128817","host","1.16.1","USB","27","URB_INTERRUPT in"
"119","0.138556","1.16.1","host","USB","52","URB_INTERRUPT in"
"120","0.138592","host","1.16.1","USB","27","URB_INTERRUPT in"
"121","0.148560","1.16.1","host","USB","52","URB_INTERRUPT in"
"122","0.148604","host","1.16.1","USB","27","URB_INTERRUPT in"
"123","0.158557","1.16.1","host","USB","52","URB_INTERRUPT in"
"124","0.158605","host","1.16.1","USB","27","URB_INTERRUPT in"
"125","0.168567","1.16.1","host","USB","52","URB_INTERRUPT in"
"126","0.168614","host","1.16.1","USB","27","URB_INTERRUPT in"
"127","0.178559","1.16.1","host","USB","52","URB_INTERRUPT in"
"128","0.178603","host","1.16.1","USB","27","URB_INTERRUPT in"
"129","0.188558","1.16.1","host","USB","52","URB_INTERRUPT in"
"130","0.188600","host","1.16.1","USB","27","URB_INTERRUPT in"
"131","0.198556","1.16.1","host","USB","52","URB_INTERRUPT in"
"132","0.198590","host","1.16.1","USB","27","URB_INTERRUPT in"
"133","0.208558","1.16.1","host","USB","52","URB_INTERRUPT in"
"134","0.208601","host","1.16.1","USB","27","URB_INTERRUPT in"
"135","0.218671","1.16.1","host","USB","52","URB_INTERRUPT in"
"136","0.218720","host","1.16.1","USB","27","URB_INTERRUPT in"
"137","0.228666","1.16.1","host","USB","52","URB_INTERRUPT in"
"138","0.228728","host","1.16.1","USB","27","URB_INTERRUPT in"
"139","0.238655","1.16.1","host","USB","52","URB_INTERRUPT in"
"140","0.238719","host","1.16.1","USB","27","URB_INTERRUPT in"
"141","0.248684","1.16.1","host","USB","52","URB_INTERRUPT in"
"142","0.248730","host","1.16.1","USB","27","URB_INTERRUPT in"
"157","0.258557","1.16.1","host","USB","52","URB_INTERRUPT in"
"158","0.258591","host","1.16.1","USB","27","URB_INTERRUPT in"
"159","0.268557","1.16.1","host","USB","52","URB_INTERRUPT in"
"160","0.268579","host","1.16.1","USB","27","URB_INTERRUPT in"
"161","0.278633","1.16.1","host","USB","52","URB_INTERRUPT in"
"162","0.278655","host","1.16.1","USB","27","URB_INTERRUPT in"
"163","0.288565","1.16.1","host","USB","52","URB_INTERRUPT in"
"164","0.288610","host","1.16.1","USB","27","URB_INTERRUPT in"
"165","0.298638","1.16.1","host","USB","52","URB_INTERRUPT in"
"166","0.298685","host","1.16.1","USB","27","URB_INTERRUPT in"
"167","0.308556","1.16.1","host","USB","52","URB_INTERRUPT in"
"168","0.308586","host","1.16.1","USB","27","URB_INTERRUPT in"
"169","0.318550","1.16.1","host","USB","52","URB_INTERRUPT in"
"170","0.318588","host","1.16.1","USB","27","URB_INTERRUPT in"
"171","0.328547","1.16.1","host","USB","52","URB_INTERRUPT in"
"172","0.328563","host","1.16.1","USB","27","URB_INTERRUPT in"
"173","0.338684","1.16.1","host","USB","52","URB_INTERRUPT in"
"174","0.338733","host","1.16.1","USB","27","URB_INTERRUPT in"
"175","0.348558","1.16.1","host","USB","52","URB_INTERRUPT in"
"176","0.348583","host","1.16.1","USB","27","URB_INTERRUPT in"
"177","0.358555","1.16.1","host","USB","52","URB_INTERRUPT in"
"178","0.358591","host","1.16.1","USB","27","URB_INTERRUPT in"
"179","0.368563","1.16.1","host","USB","52","URB_INTERRUPT in"
"180","0.368611","host","1.16.1","USB","27","URB_INTERRUPT in"
"181","0.378558","1.16.1","host","USB","52","URB_INTERRUPT in"
"182","0.378604","host","1.16.1","USB","27","URB_INTERRUPT in"
"183","0.388559","1.16.1","host","USB","52","URB_INTERRUPT in"
"184","0.388604","host","1.16.1","USB","27","URB_INTERRUPT in"
"185","0.398557","1.16.1","host","USB","52","URB_INTERRUPT in"
"186","0.398596","host","1.16.1","USB","27","URB_INTERRUPT in"
"187","0.408559","1.16.1","host","USB","52","URB_INTERRUPT in"
"188","0.408580","host","1.16.1","USB","27","URB_INTERRUPT in"
"189","0.418657","1.16.1","host","USB","52","URB_INTERRUPT in"
"190","0.418706","host","1.16.1","USB","27","URB_INTERRUPT in"
"191","0.428565","1.16.1","host","USB","52","URB_INTERRUPT in"
"192","0.428616","host","1.16.1","USB","27","URB_INTERRUPT in"
"193","0.438558","1.16.1","host","USB","52","URB_INTERRUPT in"
"194","0.438600","host","1.16.1","USB","27","URB_INTERRUPT in"
"195","0.448619","1.16.1","host","USB","52","URB_INTERRUPT in"
"196","0.448666","host","1.16.1","USB","27","URB_INTERRUPT in"
"197","0.458572","1.16.1","host","USB","52","URB_INTERRUPT in"
"198","0.458631","host","1.16.1","USB","27","URB_INTERRUPT in"
"199","0.468709","1.16.1","host","USB","52","URB_INTERRUPT in"
"200","0.468756","host","1.16.1","USB","27","URB_INTERRUPT in"
"201","0.478643","1.16.1","host","USB","52","URB_INTERRUPT in"
"202","0.478690","host","1.16.1","USB","27","URB_INTERRUPT in"
"203","0.488552","1.16.1","host","USB","52","URB_INTERRUPT in"
"204","0.488574","host","1.16.1","USB","27","URB_INTERRUPT in"
"205","0.498559","1.16.1","host","USB","52","URB_INTERRUPT in"
"206","0.498609","host","1.16.1","USB","27","URB_INTERRUPT in"
"219","0.508555","1.16.1","host","USB","52","URB_INTERRUPT in"
"220","0.508592","host","1.16.1","USB","27","URB_INTERRUPT in"
"221","0.518560","1.16.1","host","USB","52","URB_INTERRUPT in"
"222","0.518607","host","1.16.1","USB","27","URB_INTERRUPT in"
"223","0.528654","1.16.1","host","USB","52","URB_INTERRUPT in"
"224","0.528707","host","1.16.1","USB","27","URB_INTERRUPT in"
"225","0.538648","1.16.1","host","USB","52","URB_INTERRUPT in"
"226","0.538707","host","1.16.1","USB","27","URB_INTERRUPT in"
"227","0.548564","1.16.1","host","USB","52","URB_INTERRUPT in"
"228","0.548620","host","1.16.1","USB","27","URB_INTERRUPT in"
"229","0.558741","1.16.1","host","USB","52","URB_INTERRUPT in"
"230","0.558802","host","1.16.1","USB","27","URB_INTERRUPT in"
"231","0.568682","1.16.1","host","USB","52","URB_INTERRUPT in"
"232","0.568733","host","1.16.1","USB","27","URB_INTERRUPT in"
"233","0.578564","1.16.1","host","USB","52","URB_INTERRUPT in"
"234","0.578616","host","1.16.1","USB","27","URB_INTERRUPT in"
"235","0.588557","1.16.1","host","USB","52","URB_INTERRUPT in"
"236","0.588611","host","1.16.1","USB","27","URB_INTERRUPT in"
"237","0.598561","1.16.1","host","USB","52","URB_INTERRUPT in"
"238","0.598601","host","1.16.1","USB","27","URB_INTERRUPT in"
"239","0.608558","1.16.1","host","USB","52","URB_INTERRUPT in"
"240","0.608581","host","1.16.1","USB","27","URB_INTERRUPT in"
"241","0.618556","1.16.1","host","USB","52","URB_INTERRUPT in"
"242","0.618606","host","1.16.1","USB","27","URB_INTERRUPT in"
"251","0.628556","1.16.1","host","USB","52","URB_INTERRUPT in"
"252","0.628605","host","1.16.1","USB","27","URB_INTERRUPT in"
"253","0.638555","1.16.1","host","USB","52","URB_INTERRUPT in"
"254","0.638590","host","1.16.1","USB","27","URB_INTERRUPT in"
"255","0.648653","1.16.1","host","USB","52","URB_INTERRUPT in"
"256","0.648713","host","1.16.1","USB","27","URB_INTERRUPT in"
"257","0.658568","1.16.1","host","USB","52","URB_INTERRUPT in"
"258","0.658611","host","1.16.1","USB","27","URB_INTERRUPT in"
"259","0.668689","1.16.1","host","USB","52","URB_INTERRUPT in"
"260","0.668752","host","1.16.1","USB","27","URB_INTERRUPT in"
"261","0.678569","1.16.1","host","USB","52","URB_INTERRUPT in"
"262","0.678621","host","1.16.1","USB","27","URB_INTERRUPT in"
"263","0.688561","1.16.1","host","USB","52","URB_INTERRUPT in"
"264","0.688617","host","1.16.1","USB","27","URB_INTERRUPT in"
"265","0.698663","1.16.1","host","USB","52","URB_INTERRUPT in"
"266","0.698711","host","1.16.1","USB","27","URB_INTERRUPT in"
"267","0.708618","1.16.1","host","USB","52","URB_INTERRUPT in"
"268","0.708651","host","1.16.1","USB","27","URB_INTERRUPT in"
"269","0.718564","1.16.1","host","USB","52","URB_INTERRUPT in"
"270","0.718613","host","1.16.1","USB","27","URB_INTERRUPT in"
"271","0.728650","1.16.1","host","USB","52","URB_INTERRUPT in"
"272","0.728699","host","1.16.1","USB","27","URB_INTERRUPT in"
"273","0.738590","1.16.1","host","USB","52","URB_INTERRUPT in"
"274","0.738629","host","1.16.1","USB","27","URB_INTERRUPT in"
"278","0.748551","1.16.1","host","USB","52","URB_INTERRUPT in"
"279","0.748573","host","1.16.1","USB","27","URB_INTERRUPT in"
"287","0.758558","1.16.1","host","USB","52","URB_INTERRUPT in"
"288","0.758604","host","1.16.1","USB","27","URB_INTERRUPT in"
"289","0.768559","1.16.1","host","USB","52","URB_INTERRUPT in"
"290","0.768613","host","1.16.1","USB","27","URB_INTERRUPT in"
"291","0.778561","1.16.1","host","USB","52","URB_INTERRUPT in"
"292","0.778614","host","1.16.1","USB","27","URB_INTERRUPT in"
"295","0.788560","1.16.1","host","USB","52","URB_INTERRUPT in"
"296","0.788604","host","1.16.1","USB","27","URB_INTERRUPT in"
"299","0.798550","1.16.1","host","USB","52","URB_INTERRUPT in"
"300","0.798575","host","1.16.1","USB","27","URB_INTERRUPT in"
"303","0.808556","1.16.1","host","USB","52","URB_INTERRUPT in"
"304","0.808593","host","1.16.1","USB","27","URB_INTERRUPT in"
"305","0.818560","1.16.1","host","USB","52","URB_INTERRUPT in"
"306","0.818612","host","1.16.1","USB","27","URB_INTERRUPT in"
"307","0.828558","1.16.1","host","USB","52","URB_INTERRUPT in"
"308","0.828594","host","1.16.1","USB","27","URB_INTERRUPT in"
"309","0.838646","1.16.1","host","USB","52","URB_INTERRUPT in"
"310","0.838673","host","1.16.1","USB","27","URB_INTERRUPT in"
"311","0.848630","1.16.1","host","USB","52","URB_INTERRUPT in"
